Month,RMSE,MAE
Jan,18.36317077791101,10.623545277656554
Feb,18.903549366059664,10.965413658482781
March,20.19145857796008,12.016764106822926
April,17.968628902214274,10.86738989291458
May,16.524495023987615,9.909136700793441
June,17.112277207907365,10.326262301527745
July,16.026559595845715,9.77357122857141
Aug,17.387337196055892,10.67720098336587
Sep,16.293495623708836,9.63402672038854
Oct,15.294567509213024,9.333818944782955
Nov,17.210148000196348,10.20799377280748
Dec,19.03014827491468,11.050503877648548
Annual,17.525486337997876,10.44880228881357
